city,latitude,longitude
Berlin,52.52,13.405
Paris,48.8566,2.3522
London,51.5074,-0.1278
Rome,41.9028,12.4964
Madrid,40.4168,-3.7038
Moscow,55.7558,37.6176
Amsterdam,52.3676,4.9041
Prague,50.0755,14.4378
Vienna,48.2082,16.3738
Warsaw,52.2297,21.0122
Budapest,47.4979,19.0402
Dublin,53.3498,-6.2603
Brussels,50.8503,4.3517
Stockholm,59.3293,18.0686
Copenhagen,55.6761,12.5683
Oslo,59.9139,10.7522
Helsinki,60.1699,24.9384
Lisbon,38.7223,-9.1393
Zurich,47.3769,8.5417
Munich,48.1351,11.582
Milan,45.4642,9.19
Barcelona,41.3851,2.1734
Athens,37.9838,23.7275
Istanbul,41.0082,28.9784
Bucharest,44.4268,26.1025

New York,40.7128,-74.006
Los Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Toronto,43.6532,-79.3832
Vancouver,49.2827,-123.1207
Montreal,45.5017,-73.5673
Mexico City,19.4326,-99.1332
Miami,25.7617,-80.1918
San Francisco,37.7749,-122.4194
Las Vegas,36.1699,-115.1398
Washington DC,38.9072,-77.0369
Boston,42.3601,-71.0589
Seattle,47.6062,-122.3321
Houston,29.7604,-95.3698
Atlanta,33.749,-84.388
Dallas,32.7767,-96.797
Philadelphia,39.9526,-75.1652
Denver,39.7392,-104.9903
Phoenix,33.4484,-112.074
San Diego,32.7157,-117.1611
Minneapolis,44.9778,-93.265
New Orleans,29.9511,-90.0715
Orlando,28.5383,-81.3792
Austin,30.2672,-97.7431
Calgary,51.0447,-114.0719

Tokyo,35.6895,139.6917
Shanghai,31.2304,121.4737
Beijing,39.9042,116.4074
Mumbai,19.076,72.8777
Bangkok,13.7563,100.5018
Seoul,37.5665,126.978
Jakarta,6.2088,106.8456
Manila,14.5995,120.9842
Hong Kong,22.3193,114.1694
Singapore,1.3521,103.8198
Kuala Lumpur,3.139,101.6869
Taipei,25.033,121.5654
Hanoi,21.0285,105.8542
Ho Chi Minh City,10.7769,106.7009
Bangalore,12.9716,77.5946
New Delhi,28.6139,77.209
Osaka,34.6937,135.5023
Karachi,24.8607,67.0011
Dhaka,23.8103,90.4125
Kolkata,22.5726,88.3639
Chennai,13.0827,80.2707
Hyderabad,17.385,78.4867
Sapporo,43.0618,141.3545
Kyoto,35.0116,135.7681
Busan,35.1796,129.0756
